"RecordNumber","Zipcode","ZipCodeType","City","State","LocationType","Lat","Long","Xaxis","Yaxis","Zaxis","WorldRegion","Country","LocationText","Location","Decommisioned","TaxReturnsFiled","EstimatedPopulation","TotalWages","Notes"
80438,"09844","MILITARY","APO","AE","ACCEPTABLE",0.00,0.00,0.00,0.00,0.00,"EU","GR",,"EU-GR-NATO HEADQUARTERS LARISSAGR","false",,,,";Country and installation from  MPSA Ballot"
80439,"09845","MILITARY","DPO","AE","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80440,"09846","MILITARY","DPO","AE","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80441,"09852","MILITARY","APO","AE","PRIMARY",0.00,0.00,0.00,0.00,0.00,"ME","SA",,"ME-SA-ESKAN VILLAGE","false",,,,";Country and installation from  MPSA Ballot"
80442,"09853","MILITARY","APO","AE","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AS","AE",,"AS-AE-AL DHAFRA AB U.A.E.","false",,,,";Country and installation from  MPSA Ballot"
80443,"09855","MILITARY","APO","AE","PRIMARY",0.00,0.00,0.00,0.00,0.00,"ME","KW",,"ME-KW-ALI AL SALEM AB KUWAIT","false",,,,";Country and installation from  MPSA Ballot"
80444,"09858","MILITARY","APO","AE","PRIMARY",0.00,0.00,0.00,0.00,0.00,"ME","SA",,"ME-SA-DHAHRAN","false",,,,";Country and installation from  MPSA Ballot"
80445,"09859","MILITARY","FPO","AE","PRIMARY",0.00,0.00,0.00,0.00,0.00,"ME","BH",,"ME-BH-SHAIKH  ISA AIR BASE","false",,,,";Country and installation from  MPSA Ballot"
80446,"09862","MILITARY","APO","AE","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","true",,,,
80447,"09865","MILITARY","FPO","AE","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","GR",,"NA-GR-NSA SOUDA  BAY, CRETE","false",,,,";Country and installation from  MPSA Ballot"
80448,"09868","MILITARY","APO","AE","PRIMARY",0.00,0.00,0.00,0.00,0.00,"AF","EG",,"AF-EG-CAIRO","false",,,,";Country and installation from  MPSA Ballot"
80449,"09870","MILITARY","DPO","AE","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80450,"09871","MILITARY","DPO","AE","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80451,"09872","MILITARY","DPO","AE","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80452,"09873","MILITARY","DPO","AE","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80453,"09874","MILITARY","DPO","AE","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80454,"09875","MILITARY","DPO","AE","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
80455,"09876","MILITARY","DPO","AE","PRIMARY",0.00,0.00,0.00,0.00,0.00,"NA","US",,"NA-US-","false",,,,
